iter	Passed	Remaining
0	0	878
1	1	759
2	2	707
3	2	686
4	3	677
5	4	668
6	4	672
7	5	689
8	6	687
9	6	689
10	7	683
11	8	678
12	9	684
13	9	676
14	10	668
15	10	672
16	11	673
17	12	668
18	12	665
19	13	664
20	14	662
21	14	659
22	15	658
23	16	655
24	16	653
25	17	655
26	18	655
27	18	652
28	19	649
29	19	645
30	20	643
31	21	641
32	21	639
33	22	637
34	23	637
35	24	642
36	24	643
37	25	640
38	25	638
39	26	637
40	27	635
41	27	634
42	28	632
43	28	630
44	29	631
45	30	630
46	31	629
47	31	628
48	32	626
49	32	625
50	33	622
51	34	620
52	34	622
53	35	624
54	36	631
55	37	631
56	38	630
57	38	629
58	39	627
59	39	626
60	40	625
61	41	623
62	41	623
63	42	622
64	43	623
65	43	622
66	44	620
67	45	619
68	45	617
69	46	616
70	46	614
71	47	613
72	48	612
73	48	612
74	49	612
75	50	610
76	50	608
77	51	607
78	52	606
79	52	604
80	53	603
81	53	603
82	54	598
83	54	598
84	55	597
85	56	597
86	56	595
87	57	594
88	57	592
89	58	591
90	59	589
91	59	588
92	60	587
93	60	587
94	61	586
95	62	585
96	62	583
97	63	582
98	63	580
99	64	579
100	64	577
101	65	576
102	66	578
103	66	576
104	67	577
105	68	575
106	68	574
107	69	572
108	69	570
109	70	569
110	70	567
111	71	566
112	71	564
113	72	563
114	72	561
115	73	560
116	74	558
117	74	557
118	75	555
119	75	554
120	76	553
121	76	550
122	77	549
123	77	548
124	78	546
125	78	545
126	79	543
127	79	542
128	80	541
129	80	541
130	81	539
131	81	538
132	82	537
133	82	535
134	83	534
135	83	533
136	84	531
137	84	530
138	85	529
139	86	528
140	86	528
141	87	526
142	87	524
143	88	523
144	88	522
145	89	521
146	89	520
147	90	519
148	90	518
149	91	517
150	91	516
151	92	515
152	92	514
153	93	513
154	93	512
155	94	511
156	95	512
157	96	511
158	96	510
159	97	509
160	97	507
161	98	506
162	98	506
163	99	505
164	99	504
165	100	504
166	100	502
167	101	501
168	101	501
169	102	500
170	103	499
171	103	498
172	104	497
173	104	497
174	105	496
175	105	496
176	106	495
177	107	494
178	107	493
179	108	492
180	108	491
181	109	491
182	109	490
183	110	490
184	111	490
185	111	489
186	112	488
187	112	487
188	113	487
189	114	486
190	114	485
191	115	484
192	115	483
193	116	482
194	116	482
195	117	481
196	117	480
197	118	479
198	118	478
199	119	477
200	119	476
201	120	476
202	121	475
203	121	474
204	122	473
205	122	472
206	123	472
207	124	472
208	124	472
209	125	471
210	125	470
211	126	469
212	126	469
213	127	468
214	128	467
215	128	466
216	129	466
217	129	465
218	130	464
219	130	464
220	131	463
221	131	462
222	132	461
223	133	461
224	133	460
225	134	459
226	134	458
227	135	458
228	135	457
229	136	456
230	136	455
231	137	455
232	138	454
233	138	454
234	139	453
235	139	452
236	140	451
237	140	450
238	141	450
239	142	449
240	142	449
241	143	448
242	143	447
243	144	446
244	144	446
245	145	445
246	145	444
247	146	443
248	146	443
249	147	442
250	148	442
251	148	441
252	149	440
253	149	439
254	150	439
255	150	438
256	151	437
257	151	436
258	152	436
259	152	435
260	153	434
261	154	434
262	154	433
263	155	433
264	155	432
265	156	431
266	156	430
267	157	429
268	157	429
269	158	428
270	158	427
271	159	426
272	160	426
273	160	425
274	161	425
275	161	424
276	162	423
277	162	423
278	163	422
279	164	421
280	164	421
281	165	420
282	165	419
283	166	419
284	167	419
285	167	418
286	168	418
287	168	417
288	169	416
289	169	415
290	170	415
291	170	414
292	171	413
293	171	412
294	172	412
295	173	412
296	173	411
297	174	411
298	175	410
299	175	409
300	176	408
301	176	408
302	177	407
303	177	406
304	178	405
305	178	405
306	179	405
307	180	404
308	180	403
309	181	403
310	181	402
311	182	401
312	182	400
313	183	400
314	183	399
315	184	398
316	184	398
317	185	397
318	185	397
319	186	396
320	187	395
321	187	394
322	188	394
323	188	393
324	189	392
325	189	392
326	190	391
327	190	390
328	191	390
329	191	389
330	192	388
331	192	388
332	193	387
333	194	387
334	194	386
335	195	385
336	195	384
337	196	384
338	196	383
339	197	382
340	197	382
341	198	382
342	199	381
343	199	380
344	200	380
345	200	379
346	201	378
347	201	377
348	202	377
349	202	376
350	203	375
351	204	375
352	204	375
353	205	374
354	205	373
355	206	373
356	206	372
357	207	372
358	207	371
359	208	370
360	209	370
361	209	369
362	210	368
363	210	368
364	211	367
365	211	366
366	212	366
367	212	365
368	213	364
369	213	364
370	214	363
371	214	362
372	215	362
373	216	361
374	216	361
375	217	360
376	217	359
377	218	359
378	218	358
379	219	357
380	219	357
381	220	356
382	220	355
383	221	355
384	221	354
385	222	353
386	223	353
387	223	352
388	224	351
389	224	351
390	225	350
391	225	349
392	226	349
